"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q497B0",1,-1.49634960166187,0.546496270632869,0.549656246529284,0.400197084499716,FALSE,0.457789752398732,0.457789752398732,0.238973492939748,0.303236754661521
"P27605",1,-1.00863580265014,1.28602590868172,-0.51969278552188,0.242302679490303,FALSE,0.457879901883037,0.457879901883037,0.190672903623093,0.351447194493871
"Q6AY30",3,0.202489343231166,0.638563536443384,-1.46875105856131,0.627698178886762,FALSE,0.45825180155835,0.360539888476884,0.181208309964766,0.45825180155835
"P62425",3,-0.191363535544085,1.24601246613443,-1.18104105071426,0.126392120123924,FALSE,0.458546505915284,0.350067326643936,0.19138616744078,0.458546505915284
"P24368",1,-1.4430022988271,0.864617951322675,0.327375528183355,0.251008819321069,FALSE,0.458861506226539,0.458861506226539,0.226720345629138,0.314418148144324
"Q4FZT0",3,-0.101062880755208,1.14380902298892,-1.27563676986251,0.2328906276288,FALSE,0.458909884691896,0.3514742638294,0.189615851478703,0.458909884691896
"Q641Z4",3,0.293785731801982,1.26947900729869,-0.58136420987469,-0.981900529225986,FALSE,0.459775255380257,0.24349487060508,0.296729874014663,0.459775255380257
"Q62871",3,0.962484821604179,-0.297392334120914,-1.27169659361495,0.606604106131684,FALSE,0.459778308802119,0.291401815475749,0.248819875722133,0.459778308802119
"P62902",2,0.401115764156966,0.729811617110601,0.347493804659624,-1.47842118592719,FALSE,0.459903346573423,0.198296194856543,0.459903346573423,0.341800458570034
"P0C546",3,-0.0795023719852119,1.43858518905403,-0.696847113623465,-0.66223570344535,FALSE,0.460840470236801,0.281577032792439,0.257582496970761,0.460840470236801
"P62804",1,-0.504603414100624,-0.897247365161814,0.00892475504739636,1.39292602421504,FALSE,0.461445021473956,0.461445021473956,0.233959497774871,0.304595480751173
"P80299",1,-0.402198266828379,0.94945407749547,-1.21888687718545,0.671631066518356,FALSE,0.461827259447702,0.461827259447702,0.163401377814217,0.37477136273808
"P04897",2,0.543085071588938,0.686756616838447,0.24448844854177,-1.47433013696915,FALSE,0.461960800899823,0.193059739067309,0.461960800899823,0.344979460032867
"P14669",3,0.813613811530261,0.898666695863747,-0.676587382052196,-1.03569312534181,FALSE,0.462291491028115,0.213538463778587,0.324170045193297,0.462291491028115
"Q5RKI1",3,0.970571046673791,-0.255144250833634,-1.28964030077299,0.57421350493283,FALSE,0.462955808561702,0.2889023205488,0.248141870889499,0.462955808561702
"P63324",2,0.778820786981544,0.585460238589606,0.0662053739637651,-1.43048639953492,FALSE,0.4629731815868,0.184729504669277,0.4629731815868,0.352297313743924
"Q9EP80",1,-1.47768015573614,0.254113142835235,0.652586389022513,0.570980623878396,FALSE,0.464142683639964,0.464142683639964,0.24145757100313,0.294399745356906
"P52296",3,1.06900658844428,-0.249744808240528,-1.26381398299482,0.444552202791067,FALSE,0.46562899544488,0.275654420769861,0.258716583785258,0.46562899544488
"P39069",3,1.36375565813091,-0.0142224239084874,-1.01340230072908,-0.336130933493338,FALSE,0.465852125647239,0.220176364055283,0.313971510297478,0.465852125647239
"P97519",3,0.530300241364083,0.253968638566871,-1.47535711943162,0.691088239500664,FALSE,0.465973019280156,0.330965683524899,0.203061297194945,0.465973019280156
"Q4V8C3",1,-0.237881180454806,-0.764413941803177,-0.462383993494748,1.46467911575273,FALSE,0.466098993438535,0.466098993438535,0.216059864458149,0.317841142103316
"P12749",3,0.956313917933676,0.769484222618582,-0.817247616079122,-0.908550524473136,FALSE,0.46639809570973,0.217979417276335,0.315622487013936,0.46639809570973
"P01835",3,0.7931401985088,-0.098169091674018,-1.37699976781216,0.682028660977373,FALSE,0.466568097360191,0.307581149846047,0.225850752793761,0.466568097360191
"P05708",3,0.663934423173226,0.102686383812382,-1.44509966164471,0.6784788546591,FALSE,0.467075896398873,0.31824265375219,0.214681449848937,0.467075896398873
"P06685",3,1.23837068282774,-0.29885241435084,-1.15378325587032,0.214264987393416,FALSE,0.467459621810551,0.251403679479495,0.281136698709955,0.467459621810551
"Q5M7W5",3,-0.119111695683569,1.43152243122662,-0.850299370077205,-0.46211136546585,FALSE,0.467598059861243,0.295408227113563,0.236993713025195,0.467598059861243
"P82995",2,0.227873108522762,0.709255224846857,0.532916266433469,-1.47004459980309,FALSE,0.469459259099089,0.20090031080287,0.469459259099089,0.329640430098041
"B2RZ37",1,-0.768871365806504,1.22016864286676,-0.865254255166871,0.413956978106619,FALSE,0.469806783235938,0.469806783235938,0.171179295216825,0.359013921547237
"P08461",3,-0.100312481450952,1.30220859596137,-1.13569708419768,-0.0661990303127416,FALSE,0.469852591308684,0.322570691938783,0.207576716752533,0.469852591308684
"Q63258",3,-0.022590897976474,1.41878602133826,-0.775089333105415,-0.621105790256365,FALSE,0.470216498102072,0.278873976236337,0.250909525661591,0.470216498102072
"Q07803",3,0.581068542455019,0.245833264796872,-1.47647537546803,0.64957356821614,FALSE,0.471151532518421,0.322412579195538,0.206435888286041,0.471151532518421
"P04797",1,-0.0350871227090812,-0.394646204325311,-0.957883928264705,1.3876172552991,FALSE,0.471537199730845,0.471537199730845,0.189866124881127,0.338596675388027
"Q5SGE0",3,0.634521771705035,1.06257116815456,-0.729671723708569,-0.967421216151024,FALSE,0.471839239804197,0.226272901863959,0.301887858331844,0.471839239804197
"Q5XI78",1,-1.33718615888379,1.06819085482938,0.00273605415657945,0.266259249897831,FALSE,0.472305804772515,0.472305804772515,0.20775175869099,0.319942436536495
"P41350",2,0.912081265139484,0.475559919216882,0.00588523913774426,-1.39352642349411,FALSE,0.472343671093323,0.178052550482119,0.472343671093323,0.349603778424558
"P18292",2,0.21592647509952,0.699674793030934,0.553304726480143,-1.4689059946106,FALSE,0.472510552891491,0.199901031961228,0.472510552891491,0.327588415147281
"P21807",2,1.00755050479956,-1.36243020192858,0.358625009979302,-0.00374531285027488,FALSE,0.473023699151406,0.217169969222501,0.473023699151406,0.309806331626094
"P29975",2,1.10918964351926,0.277930085793798,-0.0892409793006588,-1.2978787500124,FALSE,0.473524252179949,0.17898876424495,0.473524252179949,0.347486983575101
"Q62812",1,-0.573863282897392,-0.849657553892745,0.0278170043367933,1.39570383245334,FALSE,0.473647196922162,0.473647196922162,0.22763257338931,0.298720229688528
"P35745",3,0.245427297553332,0.772124161305991,-1.46425577512131,0.446704316261984,FALSE,0.473783028954375,0.335252750908041,0.190964220137584,0.473783028954375
